<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,5,20240531,155000,145.56,145.67,145.51,145.5399,23507,0
JNJ.US,5,20240531,155500,145.54,145.76,145.45,145.5765,43741,0
JNJ.US,5,20240531,160000,145.6,145.86,145.49,145.83,31246,0
JNJ.US,5,20240531,160500,145.85,145.93,145.67,145.78,26777,0
JNJ.US,5,20240531,161000,145.77,145.88,145.6994,145.8,19666,0
JNJ.US,5,20240531,161500,145.795,146.265,145.795,146.265,33451,0
JNJ.US,5,20240531,162000,146.29,146.675,146.2,146.61,29974,0
JNJ.US,5,20240531,162500,146.61,146.8,146.51,146.565,47393,0
JNJ.US,5,20240531,163000,146.585,146.72,146.49,146.68,30662,0
JNJ.US,5,20240531,163500,146.67,146.74,146.55,146.71,30096,0
JNJ.US,5,20240531,164000,146.71,146.854,146.6601,146.785,24807,0
JNJ.US,5,20240531,164500,146.8083,146.88,146.74,146.74,19183,0
JNJ.US,5,20240531,165000,146.74,146.82,146.69,146.775,14334,0
JNJ.US,5,20240531,165500,146.78,146.78,146.55,146.55,22082,0
JNJ.US,5,20240531,170000,146.565,146.64,146.515,146.515,23803,0
JNJ.US,5,20240531,170500,146.52,146.74,146.5,146.65,17683,0
JNJ.US,5,20240531,171000,146.665,146.8323,146.64,146.75,19130,0
JNJ.US,5,20240531,171500,146.75,146.75,146.55,146.715,41570,0
JNJ.US,5,20240531,172000,146.71,146.7899,146.665,146.67,44370,0
JNJ.US,5,20240531,172500,146.67,146.74,146.66,146.71,25158,0
JNJ.US,5,20240531,173000,146.68,146.83,146.62,146.71,45449,0
JNJ.US,5,20240531,173500,146.71,146.81,146.6332,146.81,26724,0
JNJ.US,5,20240531,174000,146.81,146.91,146.77,146.9,63112,0
JNJ.US,5,20240531,174500,146.91,146.935,146.85,146.89,44846,0
JNJ.US,5,20240531,175000,146.895,146.98,146.82,146.96,50039,0
JNJ.US,5,20240531,175500,146.955,147,146.86,146.95,95141,0
JNJ.US,5,20240531,180000,146.95,147,146.88,146.98,57349,0
JNJ.US,5,20240531,180500,146.985,147.12,146.97,147.12,69228,0
JNJ.US,5,20240531,181000,147.125,147.18,147.0801,147.16,46914,0
JNJ.US,5,20240531,181500,147.155,147.23,147.12,147.18,77217,0
JNJ.US,5,20240531,182000,147.18,147.3,147.18,147.21,31917,0
JNJ.US,5,20240531,182500,147.22,147.37,147.1794,147.2932,32349,0
JNJ.US,5,20240531,183000,147.28,147.29,147.1452,147.26,29166,0
JNJ.US,5,20240531,183500,147.25,147.28,147.15,147.22,22766,0
JNJ.US,5,20240531,184000,147.2101,147.27,147.1,147.1979,43922,0
JNJ.US,5,20240531,184500,147.195,147.3301,147.17,147.33,26723,0
JNJ.US,5,20240531,185000,147.33,147.34,147.24,147.26,25961,0
JNJ.US,5,20240531,185500,147.26,147.26,147.17,147.24,26004,0
JNJ.US,5,20240531,190000,147.23,147.32,147.23,147.3,33167,0
JNJ.US,5,20240531,190500,147.3,147.32,147.1304,147.27,31050,0
JNJ.US,5,20240531,191000,147.27,147.34,147.26,147.33,33573,0
JNJ.US,5,20240531,191500,147.3201,147.375,147.31,147.3305,27026,0
JNJ.US,5,20240531,192000,147.34,147.39,147.29,147.36,22425,0
JNJ.US,5,20240531,192500,147.36,147.41,147.34,147.36,29932,0
JNJ.US,5,20240531,193000,147.36,147.375,147.29,147.37,48681,0
JNJ.US,5,20240531,193500,147.3686,147.42,147.3,147.37,55358,0
JNJ.US,5,20240531,194000,147.37,147.48,147.37,147.45,30452,0
JNJ.US,5,20240531,194500,147.45,147.475,147.44,147.4561,33288,0
JNJ.US,5,20240531,195000,147.45,147.48,147.34,147.34,33904,0
JNJ.US,5,20240531,195500,147.35,147.475,147.1217,147.3,571468,0
JNJ.US,5,20240531,200000,147.29,147.31,147.12,147.15,40234,0
JNJ.US,5,20240531,200500,147.16,147.2,147.07,147.18,48335,0
JNJ.US,5,20240531,201000,147.18,147.2,147.07,147.09,48311,0
JNJ.US,5,20240531,201500,147.09,147.115,147.01,147.09,31606,0
JNJ.US,5,20240531,202000,147.07,147.0899,146.925,146.95,20825,0
JNJ.US,5,20240531,202500,146.94,146.96,146.81,146.83,24369,0
JNJ.US,5,20240531,203000,146.82,146.93,146.8,146.85,21864,0
JNJ.US,5,20240531,203500,146.86,146.97,146.83,146.91,24821,0
JNJ.US,5,20240531,204000,146.87,147.06,146.85,147.01,27122,0
JNJ.US,5,20240531,204500,147.02,147.09,146.94,146.94,51185,0
JNJ.US,5,20240531,205000,146.94,146.96,146.66,146.7,34217,0
JNJ.US,5,20240531,205500,146.71,146.88,146.69,146.86,35244,0
JNJ.US,5,20240531,210000,146.85,146.87,146.7,146.7,27206,0
JNJ.US,5,20240531,210500,146.6895,146.71,146.6,146.68,23254,0
JNJ.US,5,20240531,211000,146.67,146.68,146.6,146.6299,19837,0
JNJ.US,5,20240531,211500,146.62,146.655,146.57,146.64,34823,0
JNJ.US,5,20240531,212000,146.63,146.6701,146.57,146.59,39303,0
JNJ.US,5,20240531,212500,146.595,146.715,146.535,146.56,32924,0
JNJ.US,5,20240531,213000,146.565,146.62,146.43,146.43,44432,0
JNJ.US,5,20240531,213500,146.43,146.44,146.295,146.38,53387,0
JNJ.US,5,20240531,214000,146.38,146.59,146.375,146.559,62381,0
JNJ.US,5,20240531,214500,146.56,146.75,146.56,146.67,71759,0
JNJ.US,5,20240531,215000,146.64,146.83,146.28,146.5698,265487,0
JNJ.US,5,20240531,215500,146.57,146.96,146.3,146.89,738572,0
JNJ.US,5,20240603,153000,147.19,147.69,146.77,147.53,51519,0
JNJ.US,5,20240603,153500,147.51,148.25,147.48,148.025,95489,0
JNJ.US,5,20240603,154000,148.04,148.11,147.68,148.047,121549,0
JNJ.US,5,20240603,154500,147.92,148.01,147.51,147.92,80942,0
JNJ.US,5,20240603,155000,147.925,148.2748,147.76,147.83,58430,0
JNJ.US,5,20240603,155500,147.82,148.33,147.82,148.33,80274,0
